epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1863.66,1.51363,1.77498,1.71872,0.48175,0.65969,0.5859,0.3174,1.41279,1.71573,1.74995,0.0028225,0.0028225,0.0028225
31,1923.59,1.56187,2.0173,1.92123,0.56322,0.60209,0.57429,0.30281,1.45074,1.80473,1.77444,0.002575,0.002575,0.002575
32,1983.56,1.55498,1.80701,1.90328,0.52561,0.58115,0.54143,0.28845,1.44466,1.62348,1.81378,0.0023275,0.0023275,0.0023275
33,2043.27,1.50868,1.9634,1.86803,0.51332,0.62827,0.52866,0.29278,1.45512,1.92359,1.81214,0.00208,0.00208,0.00208
34,2103.12,1.53367,1.76085,1.91086,0.55473,0.59162,0.53523,0.27969,1.45911,1.78773,1.83869,0.0018325,0.0018325,0.0018325
35,2162.87,1.46737,1.72902,1.8712,0.57484,0.58115,0.54424,0.29495,1.39725,1.5875,1.76371,0.001585,0.001585,0.001585
36,2222.53,1.45418,1.70852,1.84654,0.5891,0.64398,0.57609,0.29539,1.51004,1.72536,1.86701,0.0013375,0.0013375,0.0013375
37,2282.38,1.45598,1.63926,1.84605,0.57713,0.62304,0.5902,0.33266,1.40091,1.49478,1.79045,0.00109,0.00109,0.00109
38,2342.4,1.4294,1.68023,1.81711,0.59022,0.6178,0.57904,0.33247,1.38938,1.52368,1.76384,0.0008425,0.0008425,0.0008425
39,2402.55,1.38002,1.57598,1.78031,0.58483,0.65638,0.59672,0.34509,1.37344,1.46899,1.76557,0.000595,0.000595,0.000595
40,2462.47,1.41783,1.63813,1.78606,0.59682,0.66492,0.59786,0.34467,1.35889,1.47915,1.74299,0.0003475,0.0003475,0.0003475
1,80.5751,1.62939,1.76866,1.77193,0.62093,0.47489,0.55627,0.28806,1.52197,2.8769,1.81022,0.070184,0.00331288,0.00331288
2,156.254,1.6026,1.68878,1.77001,0.56529,0.65297,0.59375,0.28198,1.66282,3.01361,1.95963,0.0399647,0.00642689,0.00642689
3,229.706,1.61424,1.7264,1.7847,0.68369,0.49315,0.57913,0.28748,1.57538,2.54902,1.86026,0.0095254,0.0093209,0.0093209
4,303.068,1.64692,1.71031,1.7739,0.62729,0.56164,0.57545,0.28246,1.59343,2.68545,1.89205,0.00901,0.00901,0.00901
5,376.44,1.6291,1.7344,1.81243,0.59727,0.57534,0.57115,0.29203,1.56046,2.96588,1.86663,0.00868,0.00868,0.00868
6,449.991,1.64086,1.75241,1.80325,0.63829,0.57534,0.6212,0.32625,1.45159,2.36256,1.76757,0.00835,0.00835,0.00835
7,523.397,1.59463,1.66144,1.74858,0.58333,0.59361,0.62956,0.32702,1.39827,2.25397,1.69249,0.00802,0.00802,0.00802
8,587.191,1.5464,1.61946,1.69959,0.62677,0.54338,0.59894,0.32231,1.50741,2.02028,1.76004,0.00769,0.00769,0.00769
