epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,3180.9,1.12236,1.06186,1.37342,0.82343,0.75342,0.80418,0.55604,1.0472,1.19134,1.39171,0.00193486,0.00193486,0.00193486
88,3217.37,1.14216,1.10187,1.38891,0.82512,0.71097,0.78238,0.52958,1.08757,1.25876,1.43389,0.00183523,0.00183523,0.00183523
89,3253.75,1.11814,1.0738,1.38601,0.77663,0.75342,0.79965,0.56224,1.04602,1.4172,1.41079,0.0017378,0.0017378,0.0017378
90,3290.24,1.13471,1.0855,1.40152,0.84071,0.68493,0.80554,0.56355,1.04085,1.25946,1.38901,0.00164264,0.00164264,0.00164264
91,3326.59,1.14601,1.08112,1.39127,0.77833,0.72603,0.80463,0.57685,1.04223,1.28758,1.40291,0.00154982,0.00154982,0.00154982
92,3362.93,1.12989,1.07961,1.39291,0.71491,0.77626,0.7943,0.55694,1.02804,1.21394,1.38927,0.0014594,0.0014594,0.0014594
93,3399.21,1.10662,1.04293,1.36531,0.7381,0.77213,0.79218,0.5559,1.04297,1.23795,1.39821,0.00137143,0.00137143,0.00137143
94,3435.54,1.10184,1.06927,1.3677,0.85259,0.6758,0.80411,0.56981,1.04684,1.24807,1.39843,0.00128599,0.00128599,0.00128599
95,3471.78,1.09531,1.06938,1.3669,0.8246,0.70843,0.81181,0.58845,1.00739,1.18808,1.37589,0.00120313,0.00120313,0.00120313
96,3508.31,1.08626,1.0376,1.34669,0.77784,0.76256,0.80224,0.57001,1.03349,1.18368,1.3612,0.0011229,0.0011229,0.0011229
97,3544.54,1.09545,1.03528,1.37654,0.80639,0.76076,0.81429,0.5769,1.05188,1.10557,1.39813,0.00104537,0.00104537,0.00104537
98,3580.73,1.10035,1.04936,1.37287,0.82361,0.72603,0.81172,0.57403,1.02915,1.14557,1.37793,0.000970575,0.000970575,0.000970575
99,3616.99,1.06646,1.01654,1.34162,0.79512,0.74427,0.8115,0.58011,1.01876,1.14203,1.36511,0.000898581,0.000898581,0.000898581
100,3653.29,1.10006,1.04278,1.36142,0.78278,0.75799,0.81087,0.5888,0.98162,1.1503,1.33358,0.000829431,0.000829431,0.000829431
101,3689.66,1.05525,0.99769,1.33383,0.81665,0.71185,0.80797,0.58362,0.99788,1.14508,1.34522,0.000763174,0.000763174,0.000763174
102,3725.89,1.04293,0.99731,1.32187,0.80689,0.74409,0.81234,0.58574,0.99518,1.1693,1.34424,0.000699855,0.000699855,0.000699855
103,3762.13,1.07251,1.0194,1.35382,0.80914,0.76256,0.8205,0.58484,1.00411,1.12603,1.34623,0.000639518,0.000639518,0.000639518
104,3798.38,1.06053,1.0063,1.3446,0.77469,0.7536,0.81436,0.59128,1.00308,1.0865,1.35277,0.000582203,0.000582203,0.000582203
105,3834.67,1.0474,0.99019,1.33858,0.81889,0.74325,0.8106,0.58659,0.98194,1.12637,1.34094,0.00052795,0.00052795,0.00052795
106,3870.95,1.04685,0.97494,1.32783,0.82409,0.74429,0.81388,0.59146,0.97822,1.11458,1.33861,0.000476796,0.000476796,0.000476796
107,3907.31,1.05946,0.99895,1.35233,0.81451,0.75342,0.81177,0.60023,0.97261,1.06452,1.32994,0.000428777,0.000428777,0.000428777
108,3943.68,1.03244,0.99934,1.33717,0.85335,0.71742,0.82063,0.59686,0.9858,1.08147,1.33591,0.000383925,0.000383925,0.000383925
109,3979.96,1.04528,0.98252,1.3318,0.81396,0.7392,0.82504,0.59342,0.99293,1.06227,1.34006,0.00034227,0.00034227,0.00034227
110,4016.24,1.01914,0.96265,1.30997,0.86315,0.7032,0.82011,0.59251,0.98412,1.05759,1.33908,0.000303842,0.000303842,0.000303842
111,4069.48,0.97168,0.96963,1.37207,0.81053,0.73973,0.82008,0.594,1.00739,1.32513,1.35183,0.000268667,0.000268667,0.000268667
112,4110.61,0.93879,0.89909,1.3581,0.812,0.75342,0.81815,0.6013,1.01178,1.14759,1.36269,0.000236769,0.000236769,0.000236769
113,4148.13,0.94537,0.85875,1.34993,0.81134,0.72657,0.82271,0.59895,0.97369,1.03488,1.32805,0.000208169,0.000208169,0.000208169
114,4184.9,0.94493,0.85785,1.3643,0.80304,0.76333,0.82409,0.60653,0.95762,0.99701,1.31289,0.000182888,0.000182888,0.000182888
115,4221.77,0.89768,0.82378,1.33195,0.80289,0.76256,0.82357,0.60527,0.95346,1.03744,1.30802,0.000160943,0.000160943,0.000160943
116,4258.46,0.91498,0.84486,1.34324,0.83108,0.74136,0.82466,0.6142,0.94932,1.02925,1.30856,0.000142348,0.000142348,0.000142348
117,4295.31,0.88641,0.79736,1.33161,0.82773,0.74599,0.82417,0.61365,0.94998,1.03512,1.31078,0.000127117,0.000127117,0.000127117
118,4332.03,0.91293,0.80996,1.33913,0.83929,0.7631,0.8248,0.61714,0.94222,1.02125,1.30618,0.000115259,0.000115259,0.000115259
119,4368.85,0.8972,0.81881,1.34568,0.84059,0.73516,0.82769,0.61818,0.93825,1.02297,1.30239,0.000106784,0.000106784,0.000106784
120,4405.62,0.87964,0.78064,1.31056,0.81866,0.76712,0.82862,0.61807,0.93772,1.01385,1.30407,0.000101696,0.000101696,0.000101696
